,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,3.8
10,$r1,71.42
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,42
15,$r1,0.93
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,60
20,$r1,31.6
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,26
24,$v1,600
25,$v4,442.4
26,$r1,0.236
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,40
31,$v4,549.8
32,$r1,
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1300
37,$v4,102
38,$r1,
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,128.9
42,$v2,0.6
43,$r1,21.48
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
